UUNITS = MILLIMETERS
RefDes               Layer      MidX          MidY         Rotation     Footprint
Y1                   TOP        14.3000       11.7000      180          CSTCE_V_C           
Y2                   TOP        15.4000       33.2000        0          CSTCE_V_C           
Y3                   TOP        8.9000        22.5000        0          CSTCE_V_C           
Y4                   TOP        13.2000        4.8000       90          CSTCE_V_C           
R11                  TOP        15.3000       31.3000      180          EIA0402             
R12                  TOP        19.5250       29.3656      270          EIA0402             
R13                  TOP        18.7440       29.3656      270          EIA0402             
R14                  TOP        15.3076       35.3012      180          EIA0402             
R15                  TOP        15.3076       36.0822      180          EIA0402             
R16                  TOP        17.9630       38.7376       90          EIA0402             
R17                  TOP        18.7440       38.7376       90          EIA0402             
R18                  TOP        19.5250       38.7376       90          EIA0402             
R2                   TOP        18.1192       13.5894      180          EIA0402             
R20                  TOP        16.4944       19.3688      270          EIA0402             
R21                  TOP        15.7134       19.3688      270          EIA0402             
R22                  TOP        11.9646       21.5556      180          EIA0402             
R23                  TOP        11.9646       24.9920      180          EIA0402             
R24                  TOP        11.9646       25.7730      180          EIA0402             
R25                  TOP        14.8390       29.0532       90          EIA0402             
R26                  TOP        15.7762       29.0532       90          EIA0402             
R27                  TOP        16.5572       29.0532       90          EIA0402             
R29                  TOP        14.8390        3.4364      180          EIA0402             
R3                   TOP        22.4928       11.4026      270          EIA0402             
R30                  TOP        19.2126        1.4058      270          EIA0402             
R31                  TOP        18.4316        1.4058      270          EIA0402             
R32                  TOP        14.9952        7.1852      180          EIA0402             
R33                  TOP        14.9952        7.9662      180          EIA0402             
R34                  TOP        17.9630       10.9340       90          EIA0402             
R35                  TOP        18.7440       10.9340       90          EIA0402             
R36                  TOP        19.5250       10.9340       90          EIA0402             
R4                   TOP        21.7118       11.4026      270          EIA0402             
R5                   TOP        18.1192       17.0258      180          EIA0402             
R6                   TOP        18.1192       17.8068      180          EIA0402             
R7                   TOP        20.9308       20.9308       90          EIA0402             
R8                   TOP        21.7118       20.9308       90          EIA0402             
R9                   TOP        22.4928       20.9308       90          EIA0402             
J1                   TOP        33.5001       26.4998        0          HDR-SMD-2X2         
J2                   TOP        33.5001       10.5004        0          HDR-SMD-2X2         
J3                   TOP        6.6269        26.4998        0          HDR-SMD-2X2         
J4                   TOP        6.6269        10.5004        0          HDR-SMD-2X2         
U1                   TOP        22.9500       16.0000        0          QFN32               
U2                   TOP        19.9500       34.0000        0          QFN32               
U3                   TOP        16.9500       24.0000        0          QFN32               
U4                   TOP        19.9500        6.0000        0          QFN32               
C1                   TOP        15.3000       34.4000      180          EIA0402             
C2                   TOP        14.9952        6.2480      180          EIA0402             
C3                   TOP        18.1192       15.3076      180          EIA0402             
C4                   TOP        11.9646       23.2738      180          EIA0402             
